sourate,verset,jummal,lettres
1,1,786,19
1,2,582,18
1,3,618,12
1,4,242,12
1,5,836,19
1,6,1073,19
1,7,6010,44
2,1,857,22
2,2,2221,27
2,3,3163,47
2,4,2640,52
2,5,896,33
2,6,4468,47
2,7,5371,53
2,8,1851,47
2,9,3440,49
2,10,4401,51
2,11,3189,43
2,12,1217,29
2,13,2624,77
2,14,4913,73
2,15,2096,34
2,16,5129,57
2,17,7810,72
2,18,807,19
2,19,5977,86
2,20,7410,102
2,21,4272,53
2,22,7491,99
2,23,4242,78
2,24,4186,66
2,25,10767,145
2,26,12676,155
2,27,5965,82
2,28,5072,60
2,29,5422,70
2,30,6148,111
2,31,3587,70
2,32,2007,48
2,33,6200,101
2,34,2754,63
2,35,7281,80
2,36,6638,86
2,37,2847,43
2,38,3024,68
2,39,3587,51
2,40,3846,69
2,41,5171,79
2,42,2855,42
2,43,1595,41
2,44,4503,55
2,45,2626,47
2,46,2805,38
2,47,4834,58
2,48,4615,69
2,49,6416,84
2,50,5594,50
2,51,5873,53
2,52,3009,30
2,53,3262,37
2,54,10176,121
2,55,6878,60
2,56,3061,30
2,57,6436,90
2,58,8702,95
2,59,7145,77
2,60,10300,118
2,61,21254,257
2,62,5658,108
2,63,7868,70
2,64,5876,54
2,65,4185,54
2,66,2955,45
2,67,6671,83
2,68,4743,80
2,69,4116,71
2,70,2990,62
2,71,7500,97
2,72,5073,45
2,73,5065,57
2,74,9651,141
2,75,3583,77
2,76,8331,101
2,77,1141,36
2,78,2223,45
2,79,6934,102
2,80,6319,91
2,81,3128,54
2,82,2699,52
2,83,10461,150
2,84,8178,71
2,85,18995,231
2,86,5094,63
2,87,9274,138
2,88,2537,46
2,89,5534,108
2,90,9857,107
2,91,5415,119
2,92,5327,51
2,93,9172,131
2,94,4893,67
2,95,2548,44
2,96,5211,102
2,97,3152,72
2,98,2176,55
2,99,1940,44
2,100,2538,44
2,101,6260,89
2,102,18514,308
2,103,2743,49
2,104,4629,65
2,105,8996,98
2,106,4535,61
2,107,3306,59
2,108,4338,73
2,109,6207,123
2,110,4244,76
2,111,3798,72
2,112,2268,58
2,113,9527,141
2,114,9182,113
2,115,3750,52
2,116,4545,56
2,117,4112,47
2,118,7343,103
2,119,2877,46
2,120,7144,112
2,121,4992,70
2,122,4834,58
2,123,3809,67
2,124,6206,83
2,125,6796,115
2,126,9558,122
2,127,4079,65
2,128,4722,76
2,129,4051,81
2,130,4125,74
2,131,2331,33
2,132,2967,70
2,133,6395,114
2,134,3827,54
2,135,2921,63
2,136,4395,135
2,137,4089,79
2,138,2913,37
2,139,2887,63
2,140,7153,127
2,141,3827,54
2,142,5638,89
2,143,10178,196
2,144,9869,146
2,145,11180,130
2,146,4285,73
2,147,1949,27
2,148,4250,75
2,149,5369,66
2,150,11848,138
2,151,4378,87
2,152,3415,32
2,153,2614,53
2,154,3162,50
2,155,4213,66
2,156,2868,45
2,157,1999,42
2,158,5372,89
2,159,3965,91
2,160,2948,57
2,161,2863,64
2,162,3859,37
2,163,885,35
2,164,13078,187
2,165,9236,123
2,166,6083,57
2,167,6873,96
2,168,4183,68
2,169,2374,50
2,170,3973,89
2,171,4393,66
2,172,3654,62
2,173,9388,93
2,174,6144,122
2,175,5734,61
2,176,4768,58
2,177,14010,266
2,178,11903,163
2,179,1793,39
2,180,6316,77
2,181,2676,54
2,182,4504,55
2,183,4493,61
2,184,10134,123
2,185,12470,185
2,186,4071,77
2,187,19813,286
2,188,4282,87
2,189,7401,120
2,190,3941,59
2,191,11389,130
2,192,2335,24
2,193,4340,65
2,194,6963,107
2,195,2213,66
2,196,20617,290
2,197,8357,121
2,198,11423,110
2,199,6551,49
2,200,9004,97
2,201,3659,57
2,202,978,35
2,203,7863,103
2,204,2398,65
2,205,3982,59
2,206,4285,52
2,207,4424,49
2,208,4577,67
2,209,2321,49
2,210,6513,72
2,211,2913,74
2,212,7109,93
2,213,14896,214
2,214,9885,127
2,215,6394,104
2,216,6441,93
2,217,13969,247
2,218,4903,72
2,219,8449,123
2,220,6951,118
2,221,13063,182
2,222,9624,122
2,223,5242,81
2,224,4600,66
2,225,6447,65
2,226,4615,54
2,227,879,29
2,228,11244,177
2,229,12910,193
2,230,6801,114
2,231,16932,203
2,232,12699,147
2,233,21290,288
2,234,9796,122
2,235,13834,200
2,236,8190,111
2,237,11893,140
2,238,2778,44
2,239,5685,65
2,240,8091,116
2,241,2436,34
2,242,2261,31
2,243,9227,106
2,244,1403,38
2,245,8549,69
2,246,13007,217
2,247,6059,165
2,248,6119,114
2,249,16160,240
2,250,5145,77
2,251,9215,122
2,252,2309,41
2,253,15538,208
2,254,5274,87
2,255,13685,189
2,256,7241,102
2,257,10346,118
2,258,12836,169
2,259,20364,249
2,260,9208,148
2,261,5953,97
2,262,5481,92
2,263,5381,44
2,264,10420,174
2,265,10773,123
2,266,12002,148
2,267,12514,125
2,268,4608,68
2,269,4810,65
2,270,5402,57
2,271,7373,89
2,272,8818,112
2,273,9919,134
2,274,3905,79
2,275,10993,186
2,276,2337,45
2,277,4230,87
2,278,3638,54
2,279,6695,72
2,280,5475,52
2,281,4419,54
2,282,39227,551
2,283,11428,138
2,284,7917,103
2,285,6041,118
2,286,12855,196
3,1,857,22
3,2,412,24
3,3,2077,53
3,4,5227,74
3,5,2656,37
3,6,2255,50
3,7,16344,197
3,8,4235,54
3,9,2028,47
3,10,4094,66
3,11,5613,68
3,12,4073,43
3,13,8019,116
3,14,7573,125
3,15,8686,107
3,16,4903,50
3,17,3871,54
3,18,1602,72
3,19,6421,107
3,20,7382,122
3,21,7380,88
3,22,3106,50
3,23,6237,81
3,24,4824,65
3,25,3908,53
3,26,8599,92
3,27,8286,86
3,28,7915,113
3,29,5256,79
