sourate,nom,partie,titre,degre,racines,trace_e1,trace_facteurs,produit_facteurs,pgcd,charge,charge_pos,charge_zero,charge_neg,vmin,vmax,distinct,nprimes,premiers_presents,premiers_absents,e2,e3,p1,p2,p3,formule_finale
S96,al-ʿAlaq,basmala,S96 · basmala,1,786,786,2·3·131,2·3·131,786,0,0,1,0,786,786,1,3,2 3,5 7 11 13 17 19,0,0,786,617796,485587656,R[S96·basmala](X) = X −786
S96,al-ʿAlaq,P1 · iqraʾ,S96 · P1 · iqraʾ,2,3311 2500,5811,3·13·149,2^2·5^4·7·11·43,1,0,1,0,1,2500,3311,2,5,2 5 7 11,3 13 17 19,8277500,0,5811,17212721,51922569231,R[S96·P1 · iqraʾ](X) = X^2 −5811·X + 8277500
S96,al-ʿAlaq,P2 · 1er kallā,S96 · P2 · 1er kallā,7,51 3081 628 2337 1691 1837 560,10185,3·5·7·97,2^6·3^3·5·7·11·13·17·19^2·41·79·89·157·167,1,0,2,3,2,51,3081,7,13,2 3 5 7 11 13 17 19,∅,40917730,82392104382,10185,21898765,53468154621,R[S96·P2 · 1er kallā](X) = X^7 −10185·X^6 + 40917730·X^5 −82392104382·X^4 + 86983324017961·X^3 −45651405513973497·X^2 + 9978578042332816692·X −401163139513760944320
S96,al-ʿAlaq,P3 · 2e kallā,S96 · P3 · 2e kallā,3,51 2614 554,3219,3·29·37,2^2·3·17·277·1307,1,0,1,1,1,51,2614,3,5,2 3 17,5 7 11 13 19,1609724,73855956,3219,7142513,18031615659,R[S96·P3 · 2e kallā](X) = X^3 −3219·X^2 + 1609724·X −73855956
S96,al-ʿAlaq,P4 · 3e kallā,S96 · P4 · 3e kallā,2,51 1298,1349,19·71,2·3·11·17·59,1,-1,0,1,1,51,1298,2,5,2 3 11 17,5 7 13 19,66198,0,1349,1687405,2187008243,R[S96·P4 · 3e kallā](X) = X^2 −1349·X + 66198
S1,al-Fātiḥa,A · énoncé (3e pers.),S1 · A · énoncé (3e pers.),3,786 582 860,2228,2^2·557,2^4·3^2·5·43·97·131,2,-1,0,2,1,582,860,3,6,2 3 5,7 11 13 17 19,1633932,393408720,2228,1696120,1318781024,R[S1·A · énoncé (3e pers.)](X) = X^3 −2228·X^2 + 1633932·X −393408720
S1,al-Fātiḥa,B · demande (2e pers.),S1 · B · demande (2e pers.),2,836 7083,7919,7919,2^2·3^2·11·19·787,1,-1,0,1,1,836,7083,2,5,2 3 11 19,5 7 13 17,5921388,0,7919,50867785,355930517843,R[S1·B · demande (2e pers.)](X) = X^2 −7919·X + 5921388
S4,an-Nisāʾ,corps,S4 · corps,366,366 racines (voir S4_phrases_A.csv),1003627,1003627,2^393·3^199·5^108·7^67·11^44·13^40·17^28·19^22·23^16·29^15·31^13·37^10·41^6·43^7·47^9·53^12·59^9·61^2·67^5·71^3·73^2·79·83^6·89^2·97^6·101^4·103^3·107^4·109^2·113^3·127^2·131^2·137·139^2·151^4·157·163·167·173·179^2·181·191^2·193^2·199^2·211·223·227·229^2·233·241·251·263·269·271·277·281·283·293^2·311^3·317·337·347·367·373^3·379·383·389·397·401·419·421·431·433·449^3·461·463·487^2·499·509·547·557^2·563·577·593·607·619^2·641·643^2·647·659^3·677^3·719·751·761·773·797·827^2·853·857·863·881·907^2·919·929·937·947^2·977·991·1019·1021^2·1051·1103^2·1289·1291·1301·1303·1381·1427·1433·1439·1447·1493·1627·1657·1697·1709·1721·1753·1831·1847·1931·1933·1951·1993·2029·2087·2137·2179·2251·2267·2281·2293·2309·2351·2381·2447·2657·2713·2819·3163·3319·3359·3449·3583·4049·4139·4349·4871·4877·4957·5407·5651·6911·7699·7919·8167,1,1,115,134,117,176,20750,366,166,2 3 5 7 11 13 17 19,∅,501390329988,166245778758570926,1003627,4486495153,31231231766233,"R[S4·corps](X) = ∏(X−Jⱼ) [deg 366], e₁=1003627=1003627, e₂=501390329988, e₃=166245778758570926"
S4,an-Nisāʾ,clausule (récurrente),S4 · clausule (récurrente),66,66 racines (voir S4_phrases_A.csv),114583,7·16369,2^63·3^31·5^17·7^4·11^6·13^8·17^4·19^2·23^2·29^4·31^2·47^4·53^2·67^2·101^2·107^2·163^2·181^4·191^3·193^2·251^3·307^2·311^2·317^2·373^5·383^2·563^3·601^2·809^2·1291^2·2141^2,1,1,21,19,26,251,5456,30,31,2 3 5 7 11 13 17 19,∅,6398081683,232060216318967,114583,333100523,1236912700621,"R[S4·clausule (récurrente)](X) = ∏(X−Jⱼ) [deg 66], e₁=114583=7·16369, e₂=6398081683, e₃=232060216318967"
S98,al-Bayyina,basmala,S98 · basmala,1,786,786,2·3·131,2·3·131,786,0,0,1,0,786,786,1,3,2 3,5 7 11 13 17 19,0,0,786,617796,485587656,R[S98·basmala](X) = X −786
