sourate,nom,classe,apex_verset,pointe_sourate,score_max,nb_ex_aequo,nom_present_<=114
1,al-Fātiḥa,STRUCT,4,4,2,1,non
2,al-Baqara,AMBIGU,70,70,3,2,oui
3,Āl ʿImrān,SOLIDE,33,33,4,1,oui
4,an-Nisāʾ,SOLIDE,98,98,5,1,oui
5,al-Māʾida,AMBIGU,34,34,2,6,oui
6,al-Anʿām,STRUCT,3,3,3,1,non
7,al-Aʿrāf,AMBIGU,24,24,2,4,oui
8,al-Anfāl,SOLIDE,1,1,3,1,oui
9,at-Tawba,SOLIDE,106,106,4,1,oui
10,Yūnus,STRUCT,85,85,3,1,oui
11,Hūd,SOLIDE,103,103,3,1,oui
12,Yūsuf,AMBIGU,11,11,4,4,oui
13,ar-Raʿd,AMBIGU,13,13,2,2,oui
14,Ibrāhīm,AMBIGU,35,35,2,3,oui
15,al-Ḥijr,SOLIDE,80,80,3,1,oui
16,an-Naḥl,STRUCT,104,104,3,1,oui
17,al-Isrāʾ,AMBIGU,1,1,3,2,oui
18,al-Kahf,AMBIGU,16,16,3,4,oui
19,Maryam,SOLIDE,27,27,3,1,oui
20,(titre-lettre),AMBIGU,88,88,2,2,non
21,al-Anbiyāʾ,STRUCT,105,105,3,1,non
22,al-Ḥajj,AMBIGU,7,7,2,6,oui
23,al-Muʾminūn,AMBIGU,38,38,3,2,oui
24,an-Nūr,SOLIDE,35,35,4,1,oui
25,al-Furqān,SOLIDE,1,1,3,1,oui
26,ash-Shuʿarāʾ,STRUCT,43,43,2,1,non
27,an-Naml,AMBIGU,1,1,2,6,oui
28,al-Qaṣaṣ,AMBIGU,25,25,3,2,oui
29,al-ʿAnkabūt,AMBIGU,18,18,2,4,oui
30,ar-Rūm,SOLIDE,2,2,3,1,oui
31,Luqmān,AMBIGU,12,12,2,3,oui
32,as-Sajda,AMBIGU,15,15,2,2,oui
33,al-Aḥzāb,AMBIGU,20,20,2,5,oui
34,Sabaʾ,AMBIGU,11,11,2,4,oui
35,Fāṭir,AMBIGU,1,1,3,2,oui
36,(titre-lettre),AMBIGU,9,9,2,4,non
37,aṣ-Ṣāffāt,SOLIDE,1,1,3,1,oui
38,(titre-lettre),AMBIGU,6,6,1,25,non
39,az-Zumar,AMBIGU,44,44,2,4,oui
40,Ghāfir,AMBIGU,3,3,2,7,oui
41,Fuṣṣilat,SOLIDE,3,3,3,1,oui
42,ash-Shūrā,SOLIDE,38,38,3,1,oui
43,az-Zukhruf,SOLIDE,35,35,3,1,oui
44,ad-Dukhān,AMBIGU,10,10,2,2,oui
45,al-Jāthiya,SOLIDE,28,28,2,1,oui
46,al-Aḥqāf,AMBIGU,10,10,2,3,oui
47,Muḥammad,SOLIDE,2,2,3,1,oui
48,al-Fatḥ,AMBIGU,1,1,2,4,oui
49,al-Ḥujurāt,AMBIGU,4,4,2,2,oui
50,(titre-lettre),AMBIGU,1,1,1,13,non
51,adh-Dhāriyāt,AMBIGU,1,1,2,2,oui
52,aṭ-Ṭūr,AMBIGU,1,1,2,2,oui
53,an-Najm,SOLIDE,1,1,4,1,oui
54,al-Qamar,SOLIDE,1,1,3,1,oui
55,ar-Raḥmān,SOLIDE,1,1,2,1,oui
56,al-Wāqiʿa,SOLIDE,75,75,3,1,oui
57,al-Ḥadīd,STRUCT,18,18,3,1,oui
58,al-Mujādila,AMBIGU,1,1,2,2,oui
59,al-Ḥashr,SOLIDE,2,2,2,1,oui
60,al-Mumtaḥana,SOLIDE,10,10,2,1,oui
61,aṣ-Ṣaff,SOLIDE,4,4,2,1,oui
62,al-Jumuʿa,AMBIGU,1,1,2,2,oui
63,al-Munāfiqūn,AMBIGU,1,1,3,2,oui
64,at-Taghābun,SOLIDE,9,9,2,1,oui
65,aṭ-Ṭalāq,SOLIDE,1,1,2,1,oui
66,at-Taḥrīm,SOLIDE,1,1,2,1,oui
67,al-Mulk,AMBIGU,1,1,2,4,oui
68,al-Qalam,AMBIGU,1,1,2,3,oui
69,al-Ḥāqqa,AMBIGU,1,1,2,3,oui
70,al-Maʿārij,SOLIDE,3,3,2,1,oui
71,Nūḥ,SOLIDE,26,26,3,1,oui
72,al-Jinn,SOLIDE,5,5,3,1,oui
73,al-Muzzammil,SOLIDE,1,1,4,1,oui
74,al-Muddaththir,SOLIDE,1,1,3,1,oui
75,al-Qiyāma,AMBIGU,1,1,2,4,oui
76,al-Insān,AMBIGU,1,1,2,2,oui
77,al-Mursalāt,AMBIGU,1,1,2,3,oui
78,an-Nabaʾ,SOLIDE,15,15,3,1,oui
79,an-Nāziʿāt,SOLIDE,1,1,3,1,oui
80,ʿAbasa,AMBIGU,1,1,2,2,oui
81,at-Takwīr,SOLIDE,1,1,4,1,oui
82,al-Infiṭār,SOLIDE,1,1,2,1,oui
83,al-Muṭaffifīn,AMBIGU,1,1,2,2,oui
84,al-Inshiqāq,AMBIGU,1,1,2,2,oui
85,al-Burūj,SOLIDE,1,1,3,1,oui
86,aṭ-Ṭāriq,SOLIDE,1,1,3,1,oui
87,al-Aʿlā,SOLIDE,1,1,2,1,oui
88,al-Ghāshiya,AMBIGU,1,1,2,2,oui
89,al-Fajr,SOLIDE,1,1,3,1,oui
90,al-Balad,AMBIGU,1,1,2,2,oui
91,ash-Shams,SOLIDE,1,1,3,1,oui
92,al-Layl,SOLIDE,1,1,3,1,oui
93,aḍ-Ḍuḥā,SOLIDE,1,1,2,1,oui
94,ash-Sharḥ,SOLIDE,1,1,2,1,oui
95,at-Tīn,SOLIDE,1,1,2,1,oui
96,al-ʿAlaq,SOLIDE,2,2,3,1,oui
97,al-Qadr,AMBIGU,1,1,2,3,oui
98,al-Bayyina,SOLIDE,1,1,3,1,oui
99,az-Zalzala,SOLIDE,1,1,2,1,oui
100,al-ʿĀdiyāt,SOLIDE,1,1,2,1,oui
101,al-Qāriʿa,AMBIGU,1,1,2,3,oui
102,at-Takāthur,SOLIDE,1,1,3,1,oui
103,al-ʿAṣr,SOLIDE,1,1,3,1,oui
104,al-Humaza,SOLIDE,1,1,2,1,oui
105,al-Fīl,SOLIDE,1,1,2,1,oui
106,Quraysh,SOLIDE,1,1,2,1,oui
107,al-Māʿūn,SOLIDE,7,7,2,1,oui
108,al-Kawthar,SOLIDE,1,1,2,1,oui
109,al-Kāfirūn,SOLIDE,1,1,2,1,oui
110,an-Naṣr,SOLIDE,1,1,2,1,oui
111,al-Masad,SOLIDE,5,5,3,1,oui
112,al-Ikhlāṣ,AMBIGU,3,3,1,2,non
113,al-Falaq,SOLIDE,1,1,2,1,oui
114,an-Nās,SOLIDE,2,2,3,1,oui
