sourate,nom,nom_jummal,f_pointe,lettres,versets,phrases,basmala_tete,fragments,delta_phr_vers,SJ,SJ_facteurs,charge_versets,charge_phrases,charge_SJ,pgcd,distinct,vmin,vmax,charge_pos,charge_zero,charge_neg,charge_somme,e2,e3
1,الفاتحة,525,4,143,7,7,1,6,0,10147,73·139,1,1,1,1,7,242,6010,1,3,3,-2,31797138,47673203984
2,البقرة,338,70,26268,286,752,1,751,466,1826314,2·7·73·1787,1,-1,1,1,671,71,13078,255,219,278,-23,1664347833721,1009123298318511044
3,آل عمران,392,33,15004,200,407,1,406,207,1057671,3^3·43·911,-1,-1,0,1,384,42,10228,128,136,143,-15,557227787230,194976857554135780
4,النساء,143,98,16351,176,432,1,431,256,1118210,2·5·111821,-1,0,-1,1,396,176,20750,136,153,143,-7,622787004212,230349934681169138
5,المائدة,91,34,12225,120,316,1,315,196,825504,2^5·3·8599,0,1,0,1,297,244,11970,99,100,117,-18,339025444362,92358230990542962
6,الأنعام,193,3,12745,165,403,1,402,238,934677,3^2·17·41·149,0,1,0,1,374,110,12634,128,156,119,9,435069859114,134471236706873844
7,الأعراف,383,24,14454,206,403,1,402,197,1055604,2^2·3·11^2·727,-1,1,0,1,381,128,11424,145,125,133,12,555071122847,193856321566103590
8,الأنفال,193,1,5406,75,145,1,144,70,376684,2^2·7·11·1223,0,1,1,1,141,228,10071,56,49,40,16,70207136648,8632378013408368
9,التوبة,444,106,11115,129,284,0,284,155,738190,2·5·73819,0,-1,1,1,269,110,13610,81,105,98,-17,270908595742,65902200672560158
10,يونس,126,85,7608,109,227,1,226,118,536862,2·3·89477,1,-1,0,1,219,126,14241,67,90,70,-3,143094352892,25247545054534274
11,هود,15,103,7836,123,255,1,254,132,538577,13·17·2437,0,0,-1,1,245,155,9474,94,87,74,20,144191496764,25586413454876228
12,يوسف,156,11,7326,111,224,1,223,113,498101,498101,0,-1,-1,1,211,231,7043,72,88,64,8,123272768166,20210612014585980
13,الرعد,305,13,3564,43,114,1,113,71,239874,2·3·39979,1,0,0,1,113,159,8862,41,44,29,12,28401064390,2212929839889904
14,إبراهيم,259,35,3558,52,106,1,105,54,264365,5·37·1429,1,1,-1,1,105,231,9352,30,36,40,-10,34454765982,2951509366422468
15,الحجر,242,80,2901,99,107,1,106,8,180666,2·3^2·10037,0,-1,0,1,105,200,4697,29,43,35,-6,16124108038,947757439655248
16,النحل,119,104,7851,128,232,1,231,104,558534,2·3·93089,-1,1,0,1,225,148,10860,63,82,87,-24,154992649293,28491664940425948
17,الإسراء,294,1,6662,111,191,1,190,80,474058,2·13·18233,0,-1,1,1,183,191,7728,60,66,65,-5,111515267386,17355367612542890
18,الكهف,136,16,6571,110,179,1,178,69,496441,11·45131,-1,-1,1,1,173,393,10072,55,64,60,-5,122261897961,19915781873899387
19,مريم,290,27,3954,98,137,1,136,39,281964,2^2·3·23497,-1,-1,0,1,134,51,6450,38,46,53,-15,39339680050,3620976527171602
20,طه,14,88,5418,135,189,1,188,54,388528,2^4·7·3469,0,0,1,1,179,14,7409,54,61,74,-20,74914432282,9557774278399896
21,الأنبياء,96,105,5113,112,172,1,171,60,352195,5·70439,1,1,1,1,166,126,9788,59,58,55,4,61463720801,7086623671013217
22,الحج,42,7,5333,78,151,1,150,73,365594,2·53·3449,0,1,-1,1,150,212,10474,43,55,53,-10,66138466268,7893889681737328
23,المؤمنون,223,38,4502,118,153,1,152,35,344202,2·3·57367,1,0,0,1,149,51,12210,45,66,42,3,58655381334,6598138530285622
24,النور,287,35,5773,64,155,1,154,91,414854,2·11·109·173,1,-1,-1,1,150,139,13873,48,49,58,-10,85101449421,11509515323282100
25,الفرقان,462,1,3897,77,110,1,109,33,293162,2·146581,-1,-1,-1,1,107,341,7403,40,35,35,5,42466070483,4052346921893082
